Views,Rating,Rating Count,Log Transformed Views,Log Transformed Rating Count,Rating * Log TRC
2500000,5.1,668,6.398,2.825,14.408
2500000,4.8,862,6.398,2.936,14.093
2500000,5.3,127,6.398,2.104,11.151
2400000,5.4,35557,6.38,4.551,24.575
2400000,6.1,21599,6.38,4.334,26.437
2400000,5.7,74469,6.38,4.872,27.77
2400000,5.8,36030,6.38,4.557,26.431
2400000,5.4,30573,6.38,4.485,24.219
2400000,5.5,105228,6.38,5.022,27.621
2400000,5.4,19852,6.38,4.298,23.209
2400000,4.9,2740,6.38,3.438,16.846
2400000,6,98,6.38,1.991,11.946
2400000,6.4,52,6.38,1.716,10.982
2400000,6.9,32,6.38,1.505,10.385
2300000,5.9,3830,6.362,3.583,21.14
2300000,4.3,15484,6.362,4.19,18.017
2300000,5.8,9071,6.362,3.958,22.956
2300000,6.1,6370,6.362,3.804,23.204
2300000,5.6,69,6.362,1.839,10.298
2300000,5.1,158,6.362,2.199,11.215
2300000,6.9,803,6.362,2.905,20.045
2200000,6.4,56,6.342,1.748,11.187
2200000,7.3,72933,6.342,4.863,35.5
2200000,5.7,14514,6.342,4.162,23.723
2200000,5,1308,6.342,3.117,15.585
2200000,5.5,1020,6.342,3.009,16.55
2200000,6,40,6.342,1.602,9.612
2100000,6,41997,6.322,4.623,27.738
2100000,7,11080,6.322,4.045,28.315
2100000,6.3,13097,6.322,4.117,25.937
2100000,5.5,18386,6.322,4.264,23.452
2100000,5.8,229,6.322,2.36,13.688
2000000,6.2,14652,6.301,4.166,25.829
2000000,7,49524,6.301,4.695,32.865
2000000,5.7,8827,6.301,3.946,22.492
2000000,5.4,52102,6.301,4.717,25.472
2000000,6.1,19675,6.301,4.294,26.193
2000000,6.1,11393,6.301,4.057,24.748
2000000,5.6,12284,6.301,4.089,22.898
2000000,5.6,17543,6.301,4.244,23.766
2000000,6.1,8125,6.301,3.91,23.851
2000000,6.1,22717,6.301,4.356,26.572
2000000,4.7,7926,6.301,3.899,18.325
2000000,5.4,13,6.301,1.114,6.016
1900000,7.9,303984,6.279,5.483,43.316
1900000,6.3,52870,6.279,4.723,29.755
1900000,5.1,4869,6.279,3.687,18.804
1900000,7.2,39952,6.279,4.602,33.134
1900000,6.4,9274,6.279,3.967,25.389
1900000,5.8,22032,6.279,4.343,25.189
1900000,7.1,126454,6.279,5.102,36.224
1900000,6.5,24899,6.279,4.396,28.574
1800000,7.7,81447,6.255,4.911,37.815
1800000,6.8,169764,6.255,5.23,35.564
1800000,7.1,64227,6.255,4.808,34.137
1800000,6.5,1032,6.255,3.014,19.591
1800000,5.4,21441,6.255,4.331,23.387
1800000,5.7,18171,6.255,4.259,24.276
1800000,5.9,23068,6.255,4.363,25.742
1800000,5.9,3523,6.255,3.547,20.927
1800000,5.3,9,6.255,0.954,5.056
1800000,6.1,51,6.255,1.708,10.419
1800000,8,12,6.255,1.079,8.632
1800000,7.8,16567,6.255,4.219,32.908
1700000,7.1,60169,6.23,4.779,33.931
1700000,6.4,8553,6.23,3.932,25.165
1700000,6.6,14291,6.23,4.155,27.423
1700000,6.5,108970,6.23,5.037,32.741
1700000,3.3,34572,6.23,4.539,14.979
1700000,5.1,13753,6.23,4.138,21.104
1600000,6.2,4458,6.204,3.649,22.624
1600000,6.7,42262,6.204,4.626,30.994
1600000,6.9,26222,6.204,4.419,30.491
1600000,6.6,2633,6.204,3.42,22.572
1600000,5.9,4547,6.204,3.658,21.582
1600000,6.5,5890,6.204,3.77,24.505
1600000,6.4,2476,6.204,3.394,21.722
1600000,3.4,12043,6.204,4.081,13.875
1600000,4.9,6120,6.204,3.787,18.556
1600000,8.9,32001,6.204,4.505,40.095
1600000,8.1,54166,6.204,4.734,38.345
1600000,7.7,2557,6.204,3.408,26.242
1600000,7,5794,6.204,3.763,26.341
1600000,5.8,162,6.204,2.21,12.818
1500000,6,189,6.176,2.276,13.656
1500000,7.5,94,6.176,1.973,14.798
1500000,6.8,56455,6.176,4.752,32.314
1500000,5.1,1237,6.176,3.092,15.769
1500000,5,2845,6.176,3.454,17.27
1500000,7.2,47,6.176,1.672,12.038
1400000,6.7,25588,6.146,4.408,29.534
1400000,7.1,74270,6.146,4.871,34.584
1400000,6.9,13656,6.146,4.135,28.532
1400000,7.7,25371,6.146,4.404,33.911
1400000,6.5,4643,6.146,3.667,23.836
1400000,4.7,34443,6.146,4.537,21.324
1400000,5.5,13476,6.146,4.13,22.715
1400000,7.2,43497,6.146,4.638,33.394
1400000,5.8,39,6.146,1.591,9.228
1300000,5.9,235,6.114,2.371,13.989
1300000,7.1,18547,6.114,4.268,30.303
1300000,6.5,93701,6.114,4.972,32.318
1300000,7.2,6434,6.114,3.808,27.418
1300000,6.3,5310,6.114,3.725,23.468
1300000,6.6,4368,6.114,3.64,24.024
1300000,6.2,10990,6.114,4.041,25.054
1300000,5.2,595,6.114,2.775,14.43
1300000,5.7,21604,6.114,4.335,24.71
1300000,6.7,26266,6.114,4.419,29.607
1300000,6.3,50985,6.114,4.707,29.654
1300000,7.6,82178,6.114,4.915,37.354
1300000,8.2,538546,6.114,5.731,46.994
1300000,4.6,8760,6.114,3.943,18.138
1300000,5.9,4230,6.114,3.626,21.393
1300000,6.4,1561,6.114,3.193,20.435
1200000,5.4,3470,6.079,3.54,19.116
1200000,5.2,10436,6.079,4.019,20.899
1200000,6.2,4444,6.079,3.648,22.618
1200000,4.9,1776,6.079,3.249,15.92
1200000,7.1,312,6.079,2.494,17.707
1200000,5.4,6341,6.079,3.802,20.531
1200000,6.4,20704,6.079,4.316,27.622
1200000,7.2,837,6.079,2.923,21.046
1200000,6.5,597,6.079,2.776,18.044
1100000,7.9,29324,6.041,4.467,35.289
1100000,6.3,8843,6.041,3.947,24.866
1100000,3.8,997,6.041,2.999,11.396
1100000,5.4,4584,6.041,3.661,19.769
1100000,6.7,20352,6.041,4.309,28.87
1100000,5.5,13313,6.041,4.124,22.682
1100000,5.6,4915,6.041,3.692,20.675
1100000,5.8,39160,6.041,4.593,26.639
1100000,5.7,4749,6.041,3.677,20.959
1100000,5.9,671,6.041,2.827,16.679
1100000,6.5,11422,6.041,4.058,26.377
1100000,7.3,4909,6.041,3.691,26.944
1100000,5.7,10046,6.041,4.002,22.811
1100000,6.9,15331,6.041,4.186,28.883
1100000,4.3,316,6.041,2.5,10.75
1000000,7.2,4962,6,3.696,26.611
1000000,7.6,123244,6,5.091,38.692
1000000,5.6,1820,6,3.26,18.256
1000000,6.8,29430,6,4.469,30.389
1000000,6.5,4490,6,3.652,23.738
1000000,5.9,4300,6,3.633,21.435
1000000,6.4,1284,6,3.109,19.898
1000000,7.4,10970,6,4.04,29.896
1000000,6.5,41196,6,4.615,29.998
1000000,6.1,32734,6,4.515,27.542
1000000,7.4,3575,6,3.553,26.292
900000,6.2,935,5.954,2.971,18.42
900000,6.3,935,5.954,2.971,18.717
900000,6.3,944,5.954,2.975,18.743
900000,6.6,85315,5.954,4.931,32.545
900000,7.3,4527,5.954,3.656,26.689
900000,7.7,175568,5.954,5.244,40.379
900000,6,46794,5.954,4.67,28.02
900000,7.2,60868,5.954,4.784,34.445
900000,3.9,333,5.954,2.522,9.836
900000,7.6,11138,5.954,4.047,30.757
900000,6.8,15290,5.954,4.184,28.451
900000,6.7,3423,5.954,3.534,23.678
900000,5.7,3023,5.954,3.48,19.836
900000,5.7,4457,5.954,3.649,20.799
900000,5.7,10974,5.954,4.04,23.028
900000,7.5,8438,5.954,3.926,29.445
900000,6.8,1046,5.954,3.02,20.536
900000,6.4,2676,5.954,3.427,21.933
900000,8.2,2395,5.954,3.379,27.708
900000,5.4,45,5.954,1.653,8.926
800000,6.5,51378,5.903,4.711,30.622
800000,4.7,23324,5.903,4.368,20.53
800000,5.8,1269,5.903,3.103,17.997
800000,4.1,1023,5.903,3.01,12.341
800000,5.9,3233,5.903,3.51,20.709
800000,4,930,5.903,2.968,11.872
